epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,17599.1,0.73288,0.63333,0.81933,0.82427,0.83566,0.87451,0.67292,1.05719,0.68314,0.8406,9.6036e-05,9.6036e-05,9.6036e-05
42,18025.4,0.73315,0.62836,0.81847,0.80543,0.85314,0.87416,0.67549,1.02348,0.66658,0.8365,9.44619e-05,9.44619e-05,9.44619e-05
43,18451.8,0.72863,0.62409,0.81741,0.82184,0.83598,0.87641,0.6797,1.04419,0.67343,0.83762,9.28878e-05,9.28878e-05,9.28878e-05
44,18880.5,0.72132,0.61531,0.81689,0.8135,0.86254,0.87515,0.67447,1.08281,0.67398,0.84668,9.13137e-05,9.13137e-05,9.13137e-05
45,19310.2,0.71872,0.60394,0.8175,0.82033,0.86293,0.88332,0.68059,1.10827,0.67826,0.84904,8.97396e-05,8.97396e-05,8.97396e-05
46,19738.6,0.72022,0.59743,0.81696,0.82582,0.84942,0.8776,0.67727,1.08247,0.67433,0.84545,8.81655e-05,8.81655e-05,8.81655e-05
47,20166.4,0.70805,0.59206,0.81622,0.8393,0.84929,0.88204,0.68656,1.01306,0.65037,0.83294,8.65914e-05,8.65914e-05,8.65914e-05
48,20593.7,0.71221,0.5892,0.81702,0.83685,0.8482,0.8814,0.65313,1.20283,0.69974,0.86249,8.50173e-05,8.50173e-05,8.50173e-05
49,21021.9,0.70361,0.5798,0.81468,0.83883,0.86085,0.87742,0.67999,1.05964,0.64984,0.84257,8.34432e-05,8.34432e-05,8.34432e-05
50,21447.6,0.70714,0.57821,0.81446,0.84009,0.85631,0.87887,0.63986,1.25867,0.69446,0.87301,8.18691e-05,8.18691e-05,8.18691e-05
51,21874.8,0.70479,0.57423,0.81458,0.82937,0.87002,0.88568,0.67869,1.09557,0.65931,0.84794,8.0295e-05,8.0295e-05,8.0295e-05
52,22303.6,0.69454,0.56388,0.81454,0.82217,0.85796,0.87261,0.65922,1.15005,0.67215,0.85571,7.87209e-05,7.87209e-05,7.87209e-05
53,22732.5,0.69195,0.56239,0.81317,0.8275,0.86193,0.88041,0.661,1.19938,0.68869,0.86551,7.71468e-05,7.71468e-05,7.71468e-05
54,23161.7,0.69388,0.56048,0.81478,0.88142,0.84756,0.88447,0.68276,1.0639,0.65258,0.84483,7.55727e-05,7.55727e-05,7.55727e-05
55,23591.9,0.69102,0.55373,0.81162,0.83424,0.85074,0.8787,0.6764,1.09258,0.66234,0.84603,7.39986e-05,7.39986e-05,7.39986e-05
56,24020.2,0.68728,0.54914,0.81253,0.86109,0.82613,0.87075,0.67234,1.08809,0.66142,0.84696,7.24245e-05,7.24245e-05,7.24245e-05
57,24449.3,0.68608,0.54485,0.81033,0.85348,0.85025,0.87921,0.66238,1.1548,0.67032,0.85841,7.08504e-05,7.08504e-05,7.08504e-05
58,24877.7,0.675,0.54354,0.8124,0.86084,0.8515,0.88315,0.67496,1.08658,0.64349,0.84648,6.92763e-05,6.92763e-05,6.92763e-05
59,25306.3,0.68118,0.54352,0.81367,0.85453,0.83801,0.8773,0.67489,1.1053,0.6539,0.84984,6.77022e-05,6.77022e-05,6.77022e-05
60,25734,0.68037,0.53425,0.81174,0.85078,0.85687,0.88266,0.67631,1.12841,0.65067,0.85253,6.61281e-05,6.61281e-05,6.61281e-05
61,26164.9,0.66875,0.52717,0.81151,0.85371,0.85431,0.88098,0.6801,1.09778,0.64152,0.84901,6.4554e-05,6.4554e-05,6.4554e-05
62,26596.4,0.67056,0.53011,0.8102,0.85533,0.85047,0.87815,0.66755,1.11707,0.64646,0.8527,6.29799e-05,6.29799e-05,6.29799e-05
63,27025.8,0.67695,0.53,0.81101,0.8579,0.85761,0.88821,0.67682,1.11197,0.64125,0.85067,6.14058e-05,6.14058e-05,6.14058e-05
64,27456.1,0.6704,0.52243,0.81133,0.83722,0.85593,0.8791,0.67506,1.07596,0.63285,0.84558,5.98317e-05,5.98317e-05,5.98317e-05
65,27885.5,0.6597,0.51837,0.8107,0.85794,0.85855,0.88209,0.68106,1.08806,0.64144,0.84773,5.82576e-05,5.82576e-05,5.82576e-05
66,28315.1,0.66938,0.51724,0.81141,0.87566,0.84637,0.88367,0.6705,1.11807,0.64461,0.85346,5.66835e-05,5.66835e-05,5.66835e-05
67,28743.2,0.65986,0.5165,0.80956,0.88084,0.8381,0.88634,0.6722,1.11938,0.63902,0.85237,5.51094e-05,5.51094e-05,5.51094e-05
